分类: 💰央视付费频道, 名称: 文化精品, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 53 ms, 最高速率: 44.13 MiB/s, 平均速率: 23.31 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 央视台球, 有效: 3, IPv4: 3, IPv6: 0, 最小延迟: 53 ms, 最高速率: 8.19 MiB/s, 平均速率: 7.57 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云音乐, 有效: 5, IPv4: 5, IPv6: 0, 最小延迟: 63 ms, 最高速率: 51.58 MiB/s, 平均速率: 25.90 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 💰央视付费频道, 名称: 第一剧场, 有效: 6, IPv4: 7, IPv6: 0, 最小延迟: 44 ms, 最高速率: 119.72 MiB/s, 平均速率: 39.43 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云剧场, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 37 ms, 最高速率: 41.27 MiB/s, 平均速率: 32.47 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 怀旧剧场, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 37 ms, 最高速率: 110.28 MiB/s, 平均速率: 66.91 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 女性时尚, 有效: 5, IPv4: 6, IPv6: 0, 最小延迟: 59 ms, 最高速率: 46.81 MiB/s, 平均速率: 20.49 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 风云足球, 有效: 4, IPv4: 4, IPv6: 0, 最小延迟: 53 ms, 最高速率: 17.98 MiB/s, 平均速率: 9.57 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 高尔夫网球, 有效: 1, IPv4: 1, IPv6: 0, 最小延迟: 122 ms, 最高速率: 3.82 MiB/s, 平均速率: 3.82 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 世界地理, 有效: 3, IPv4: 3, IPv6: 0, 最小延迟: 56 ms, 最高速率: 14.97 MiB/s, 平均速率: 13.39 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 兵器科技, 有效: 3, IPv4: 3, IPv6: 0, 最小延迟: 74 ms, 最高速率: 33.10 MiB/s, 平均速率: 23.52 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 💰央视付费频道, 名称: 电视指南, 有效: 2, IPv4: 2, IPv6: 0, 最小延迟: 59 ms, 最高速率: 2.25 MiB/s, 平均速率: 1.34 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 广东卫视, 有效: 3, IPv4: 10, IPv6: 0, 最小延迟: 95 ms, 最高速率: 17.22 MiB/s, 平均速率: 8.45 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 香港卫视, 有效: 1, IPv4: 3, IPv6: 0, 最小延迟: 950 ms, 最高速率: 1.19 MiB/s, 平均速率: 1.19 MiB/s, 最高分辨率: 1280x720, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 2, IPv4: 10, IPv6: 0, 最小延迟: 36 ms, 最高速率: 25.21 MiB/s, 平均速率: 13.99 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 32.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 10, IPv4: 15, IPv6: 0, 最小延迟: 7 ms, 最高速率: 40.84 MiB/s, 平均速率: 10.57 MiB/s, 最高分辨率: 3840x2160, 平均帧率: 25.0, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 北京卫视, 有效: 4, IPv4: 10, IPv6: 0, 最小延迟: 37 ms, 最高速率: 30.46 MiB/s, 平均速率: 10.72 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 4, IPv4: 13, IPv6: 0, 最小延迟: 40 ms, 最高速率: 7.46 MiB/s, 平均速率: 4.70 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 2, IPv4: 7, IPv6: 0, 最小延迟: 161 ms, 最高速率: 11.41 MiB/s, 平均速率: 9.08 MiB/s, 最高分辨率: 1920x1080, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
